Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
3/9/2017,591.15,598,591.15,597.3,597.23,1524,67,910177,1181,77.49,6.85,6.15
3/8/2017,593.5,600,588,594.9,595.53,534,56,318013,488,91.39,12,1.4
3/7/2017,593,598.5,592,593.15,593.37,6320,149,3750072,6024,95.32,6.5,0.15
3/6/2017,585,602.95,585,593.2,597.88,2808,89,1678859,2420,86.18,17.95,8.2
3/3/2017,598.5,598.5,581.2,585.55,586.33,1042,61,610961,785,75.34,17.3,-12.95
3/2/2017,597.1,603.25,585,589.75,591.3,2181,144,1289628,1933,88.63,18.25,-7.35
3/1/2017,605,606.95,598,600.05,600.05,5228,75,3137063,5025,96.12,8.95,-4.95
2/28/2017,613.65,613.7,596,600.25,600.02,5054,158,3032487,4035,79.84,17.7,-13.4
2/27/2017,607,610.05,601,605.25,605.95,4195,135,2541960,3351,79.88,9.05,-1.75
2/23/2017,617,625,603,607.95,610.06,1248,95,761349,900,72.12,22,-9.05
2/22/2017,630,635,615,618.8,621.09,6533,152,4057553,4897,74.96,20,-11.2
2/21/2017,620.4,635,620,628.35,622.99,1668,125,1039151,1079,64.69,15,7.95
2/20/2017,620,634,615.6,620.35,621.58,1363,120,847215,1146,84.08,18.4,0.35
2/17/2017,621,638.8,615.05,620.05,627.35,1349,161,846298,608,45.07,23.75,-0.95
2/16/2017,615,620,595,617.95,615.14,1246,82,766467,1101,88.36,25,2.95
2/15/2017,637.75,638.4,615,617.65,619.9,2654,176,1645212,2145,80.82,23.4,-20.1
2/14/2017,636.95,641.95,634.85,640,639.12,1387,78,886465,965,69.57,7.1,3.05
2/13/2017,633.2,653.55,623.1,642.65,640.19,2334,176,1494194,1162,49.79,30.45,9.45
2/10/2017,657,657,633.05,638.5,645.18,1062,139,685182,529,49.81,23.95,-18.5
2/9/2017,640,664.3,640,645.1,650.34,2627,354,1708445,1360,51.77,24.3,5.1
2/8/2017,640,647.7,635.6,640.95,640.37,8453,111,5413031,7801,92.29,12.1,0.95
2/7/2017,645,645.45,622.7,633.1,633.93,17184,607,10893424,10429,60.69,22.75,-11.9
2/6/2017,647.6,657,636.25,640.9,641.26,111316,507,71382829,108224,97.22,20.75,-6.7
2/3/2017,650.5,657,619,640,630.97,191390,1424,120761460,175583,91.74,38,-10.5
