Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
3/26/2003,50,50.65,47.75,48.1,49.19423124,28533,292,1403659,22774,79.82,2.9,-1.9
3/25/2003,50,50.6,49.1,49.4,50.10511931,9513,103,476650,7933,83.39,1.5,-0.6
3/24/2003,53,53,50.35,50.45,51.34694326,9111,175,467822,6814,74.79,2.65,-2.55
3/22/2003,52.5,52.9,52,52.15,52.41799051,14541,93,762210,23219,72.27,0.9,-0.35
3/21/2003,53,53.7,51.7,51.75,52.37686928,17587,191,921152,,,2,-1.25
3/19/2003,48.5,50,48.5,49.6,49.94410367,217152,240,10845462,208947,96.22,1.5,1.1
3/17/2003,48.25,48.45,46,48.25,47.19854423,30774,410,1452488,15102,49.07,2.45,0
3/13/2003,52.75,52.75,48,48.35,49.30127626,45367,710,2236651,35483,78.21,4.75,-4.4
3/12/2003,55.25,55.7,52.7,52.8,54.39946658,31870,207,1733711,28154,88.34,3,-2.45
3/11/2003,52.05,54.5,52.05,54.4,53.72234688,15152,219,814001,8093,53.41,2.45,2.35
3/10/2003,57.7,57.7,53.7,53.95,55.47227464,13778,216,764297,7721,56.04,4,-3.75
3/7/2003,58,58.25,54.7,57.85,56.49418527,22443,393,1267899,13532,60.29,3.55,-0.15
3/6/2003,57.5,58.5,56.5,57.65,57.66738469,15784,192,910222,9797,62.07,2,0.15
3/5/2003,57.25,58,56.05,57.95,57.17917954,16503,258,943628,9958,60.34,1.95,0.7
3/4/2003,58.9,59.3,57.5,58.55,58.4713919,33889,498,1981537,12622,37.25,1.8,-0.35
3/3/2003,60,60.9,58.25,59.65,59.78022656,89160,980,5330005,52050,58.38,2.65,-0.35
2/28/2003,65,66.5,58.7,59.5,63.29555662,127583,1564,8075437,45486,35.65,7.8,-5.5
2/27/2003,62,65.1,62,64.05,64.24260206,51636,620,3317231,25322,49.04,3.1,2.05
2/26/2003,63,63.3,60.25,62.05,61.64360611,60941,646,3756623,28716,47.12,3.05,-0.95
2/25/2003,65,65,61.7,62.1,62.95901272,26740,444,1683524,17979,67.24,3.3,-2.9
2/24/2003,64.5,66.7,64,65.1,65.24149043,53998,757,3522910,20818,38.55,2.7,0.6
2/21/2003,65.7,65.7,63,63.45,63.80515895,25354,402,1617716,11769,46.42,2.7,-2.25
2/20/2003,66.6,69,64.5,64.95,66.60363216,87386,1254,5820225,35463,40.58,4.5,-1.65
2/19/2003,65.9,66.9,64.3,64.75,65.44472982,91107,1173,5962473,49561,54.4,2.6,-1.15
2/18/2003,61.7,64.75,61,63.9,62.95840382,93398,1229,5880189,56252,60.23,3.75,2.2
2/17/2003,58.75,60.9,58.25,60.3,59.91338342,52311,548,3134129,34433,65.82,2.65,1.55
2/14/2003,59,60.6,56.3,56.75,58.2880042,32378,572,1887249,15091,46.61,4.3,-2.25
2/12/2003,56.25,61.5,55.85,60.55,59.19258817,110526,1405,6542320,60377,54.63,5.65,4.3
2/11/2003,57.45,57.85,55.7,56.2,56.90763864,45008,667,2561299,25902,57.55,2.15,-1.25
2/10/2003,58,58.95,56.1,56.6,57.69729923,64463,832,3719341,30824,47.82,2.85,-1.4
2/7/2003,56.5,59.35,55.1,58.15,57.57864483,67150,848,3866406,29773,44.34,4.25,1.65
2/6/2003,55,56.9,54.95,56,55.96566611,49106,751,2748250,28022,57.06,1.95,1
2/4/2003,52,52.5,50.6,51.4,51.79480316,15317,223,793341,8361,54.59,1.9,-0.6
2/3/2003,51.45,52.5,50.75,51.15,51.5900468,19873,242,1025249,12766,64.24,1.75,-0.3
1/28/2003,50.9,52.5,50.9,51.95,51.68102939,8471,130,437790,6308,74.47,1.6,1.05
1/27/2003,52.9,53.75,50.65,50.9,52.28896967,18431,264,963738,13487,73.18,3.1,-2
1/24/2003,50.9,54.25,50.9,53.7,53.0923699,56880,805,3019894,38173,67.11,3.35,2.8
1/23/2003,49.25,51.5,48.5,51.15,50.6931202,21207,287,1075049,16737,78.92,3,1.9
1/22/2003,50.7,50.7,49.05,49.5,49.44958011,14885,117,736057,11105,74.61,1.65,-1.2
1/21/2003,51,51,49.25,49.45,50.69609015,23428,206,1187708,20147,86,1.75,-1.55
1/20/2003,51.5,51.85,50.05,50.9,50.83121257,13360,198,679105,10293,77.04,1.8,-0.6
1/17/2003,51.95,52,50.05,51.45,51.26174156,19695,272,1009600,13656,69.34,1.95,-0.5
1/16/2003,52.4,53,51,51.25,51.95045711,21658,311,1125143,12402,57.26,2,-1.15
1/15/2003,49.95,52.5,49.95,51.45,51.61175022,25991,332,1341441,15835,60.92,2.55,1.5
1/14/2003,49.05,49.5,48.55,48.7,49.18613845,12394,124,609613,11340,91.5,0.95,-0.35
1/13/2003,49.55,50.4,49,49.15,49.58050542,8310,149,412014,5857,70.48,1.4,-0.4
1/10/2003,51.2,51.2,49.1,49.85,50.01423127,20729,240,1036745,12678,61.16,2.1,-1.35
1/9/2003,50.9,51.5,50.1,50.9,50.98307373,19260,302,981934,13730,71.29,1.4,0
1/8/2003,49.95,51.95,49.6,50.65,50.87939827,35298,459,1795941,16579,46.97,2.35,0.7
1/7/2003,47.5,49.8,47.5,49.05,48.46837021,12836,182,622140,9067,70.64,2.3,1.55
1/6/2003,48.6,48.6,47.25,47.4,47.85481155,7721,106,369487,4921,63.74,1.35,-1.2
1/3/2003,48.25,48.7,47.65,47.7,48.1900328,9451,120,455444,8321,88.04,1.05,-0.55
1/2/2003,49.45,50,48,48.1,48.91645291,10916,176,533972,9082,83.2,2,-1.35
1/1/2003,51.7,51.7,49.25,49.8,50.12747827,17603,295,882394,11594,65.86,2.45,-1.9
12/31/2002,49.5,52,49.1,50.95,50.72089519,90930,1193,4612051,59881,65.85,2.9,1.45
12/30/2002,46.2,49.4,46.2,48.65,47.70548678,19629,276,936411,17938,91.39,3.2,2.45
12/27/2002,46,48,46,47.25,47.13797244,19156,174,902975,17265,90.13,2,1.25
12/26/2002,47.4,47.4,46.5,46.5,46.84368639,14247,164,667382,11419,80.15,0.9,-0.9
12/24/2002,46.25,47.45,45.95,46.3,46.44649327,15456,160,717877,10865,70.3,1.5,0.05
12/23/2002,49.5,49.5,45.2,45.9,46.62773001,40476,431,1887304,27172,67.13,4.3,-3.6
12/20/2002,47,50.9,47,48.15,49.19802958,120482,1392,5927477,57899,48.06,3.9,1.15
12/19/2002,42.1,48.5,42.05,46.7,46.13340388,96384,1056,4446522,68514,71.08,6.45,4.6
12/18/2002,42.25,43,41.85,42.35,42.47762723,8783,120,373081,7309,83.22,1.15,0.1
12/13/2002,43,43.4,42.8,43,43.03362557,9011,100,387776,8630,95.77,0.6,0
12/12/2002,42.6,43.5,42.25,42.9,42.61381299,7978,84,339973,6534,81.9,1.25,0.3
12/11/2002,43.9,43.9,42.9,43.15,43.1333806,9874,118,425899,7824,79.24,1,-0.75
12/10/2002,43.35,44,42.75,42.8,43.12611144,13496,116,582030,10645,78.88,1.25,-0.55
12/9/2002,44,44.5,43.3,43.55,43.99310989,17126,206,753426,13899,81.16,1.2,-0.45
12/6/2002,43.65,46.4,43,44.4,44.52124181,68191,490,3035948,35916,52.67,3.4,0.75
12/5/2002,43.5,43.8,43,43.05,43.21812443,24078,203,1040606,16926,70.3,0.8,-0.45
12/4/2002,42.75,43.4,42.1,42.85,42.5998731,7880,87,335687,6986,88.65,1.3,0.1
12/3/2002,44,45.3,43,43.05,43.87272598,14017,254,614964,10824,77.22,2.3,-0.95
12/2/2002,44,45.1,44,44.65,44.49158701,53667,491,2387730,39852,74.26,1.1,0.65
11/29/2002,43.15,44.5,42.75,43,43.24378074,28259,282,1222026,21229,75.12,1.75,-0.15
11/28/2002,42,43.35,41.1,42.95,42.43221874,12142,207,515212,7980,65.72,2.25,0.95
11/27/2002,42.9,43,41.15,41.2,41.93756306,16849,174,706606,8316,49.36,1.85,-1.7
11/26/2002,42.9,42.95,41.5,42.3,42.5345233,9356,145,397953,5194,55.52,1.45,-0.6
11/25/2002,43.2,44.25,41.2,42.45,42.94493258,11495,142,493652,8815,76.69,3.05,-0.75
11/22/2002,42.75,44,42.7,43.35,43.2462243,10263,189,443836,6522,63.55,1.3,0.6
11/21/2002,43,43.9,42.55,42.55,43.13942938,9919,155,427900,8639,87.1,1.35,-0.45
11/20/2002,41.5,43.9,41.35,42.65,42.7192678,17864,302,763137,10215,57.18,2.55,1.15
11/18/2002,41.25,42.15,41,41.3,41.68787158,5046,102,210357,2697,53.45,1.15,0.05
11/15/2002,41.35,41.5,40.6,41,41.13045988,5197,63,213755,4148,79.82,0.9,-0.35
11/14/2002,41,41.4,40.75,41,41.02203117,1861,35,76342,1664,89.41,0.65,0
11/13/2002,40,42,40,40.95,41.31970841,7682,114,317418,6145,79.99,2,0.95
11/12/2002,40.5,41.1,40.25,40.8,40.60164133,7433,97,301792,4927,66.29,0.85,0.3
11/11/2002,42.3,42.3,40.1,40.3,40.90432802,7902,114,323226,5950,75.3,2.2,-2
11/8/2002,39.2,42.8,39.2,41.65,41.50379785,19748,509,819617,10216,51.73,3.6,2.45
11/7/2002,38.9,39,38.5,39,38.71146656,4814,56,186357,4064,84.42,0.5,0.1
11/5/2002,39,39,38.25,38.6,38.63495613,5813,106,224585,15165,80.81,0.75,-0.4
11/4/2002,40.9,40.9,39.1,39.35,39.55450054,12954,150,512389,,,1.8,-1.55
11/1/2002,36,39.5,35.25,38.65,38.15907065,38134,276,1455158,24658,64.66,4.25,2.65
10/30/2002,38.1,38.65,36.1,36.45,37.1112712,9023,83,334855,8164,90.48,2.55,-1.65
10/28/2002,39.7,39.7,37.05,37.15,37.84671321,10314,169,390351,8378,81.23,2.65,-2.55
10/25/2002,39,39.7,38.25,38.85,38.8584031,11109,163,431678,6294,56.66,1.45,-0.15
10/24/2002,38.6,41.4,38,39.1,39.64523336,73406,688,2910198,29478,40.16,3.4,0.5
10/23/2002,39,41.5,38.5,40.4,39.8030802,31881,406,1268962,17469,54.79,3,1.4
10/22/2002,44.5,45.5,41,41.6,43.11241319,20736,265,893979,14110,68.05,4.5,-2.9
10/21/2002,45,45.45,44.6,44.95,45.07083249,4913,81,221433,3256,66.27,0.85,-0.05
10/18/2002,44.3,45,44.3,44.3,44.64531722,1655,30,73888,1655,100,0.7,0
10/17/2002,45,45,44.25,44.55,44.5068408,1608,27,71567,1175,73.07,0.75,-0.45
10/16/2002,44.5,46,44,44,45.11006794,8095,112,365166,6611,81.67,2,-0.5
10/14/2002,43,44.9,43,44.9,44.11810569,3463,54,152781,2662,76.87,1.9,1.9
10/11/2002,45,45.45,44,44.1,44.73633385,5799,73,259426,5208,89.81,1.45,-0.9
10/10/2002,46,46,44,44.65,45.07813313,7692,82,346741,6938,90.2,2,-1.35
10/9/2002,45.9,46.85,45,45.5,45.74720163,6879,95,314695,6242,90.74,1.85,-0.4
10/8/2002,45,45.9,44.05,45.65,45.03701867,6051,90,272519,5325,88,1.85,0.65
10/7/2002,45.5,45.75,43.55,44.7,44.81679742,6501,82,291354,4350,66.91,2.2,-0.8
10/4/2002,44,44.5,43.6,44.45,43.94585529,4174,78,183430,3958,94.83,0.9,0.45
10/3/2002,43.15,44.8,43.1,44.2,43.66040689,3834,43,167394,3417,89.12,1.7,1.05
10/1/2002,45.5,45.5,42.5,43.3,43.29465761,5447,59,235826,3230,59.3,3,-2.2
9/30/2002,44.15,44.5,44.1,44.1,44.1213192,849,22,37459,4898,89.09,0.4,-0.05
9/27/2002,46,46,44.25,44.9,45.18305012,4649,67,210056,,,1.75,-1.1
9/26/2002,44.25,45,44.25,45,44.92348412,2078,29,93351,1964,94.51,0.75,0.75
9/25/2002,44.5,44.7,44.1,44.7,44.40920502,1195,19,53069,845,70.71,0.6,0.2
9/24/2002,45.7,45.7,45,45,45.06415287,5861,65,264121,5261,89.76,0.7,-0.7
9/23/2002,48,48,45,45.8,45.83174472,4826,63,221184,3849,79.76,3,-2.2
9/20/2002,46.05,46.95,46,46.65,46.48775662,4043,67,187950,3058,75.64,0.95,0.6
9/19/2002,48.05,48.1,47,47.5,47.51880073,6037,96,286871,4644,76.93,1.1,-0.55
9/18/2002,48.3,48.95,48.1,48.4,48.39686369,3316,32,160484,2493,75.18,0.85,0.1
9/17/2002,48.75,49.4,47.8,48.2,48.48309901,3343,57,162079,2729,81.63,1.6,-0.55
9/16/2002,49.55,50.25,48.6,49.1,49.54298546,4676,54,231663,3853,82.4,1.65,-0.45
9/13/2002,49.5,50.75,49.5,49.85,50.02157963,4634,43,231800,3983,85.95,1.25,0.35
9/12/2002,50.1,50.9,50.05,50.45,50.37457512,2942,61,148202,2232,75.87,0.85,0.35
9/11/2002,50,50.9,49.85,50.7,50.11324978,2234,23,111953,1719,76.95,1.05,0.7
9/6/2002,51,51.5,49.6,50,50.22719112,6127,82,307742,4529,73.92,1.9,-1
9/4/2002,51.2,52.4,51.05,51.65,51.5326181,5779,65,297807,4450,77,1.35,0.45
9/3/2002,54,54,51.4,51.95,52.51644668,4773,65,250661,3650,76.47,2.6,-2.05
9/2/2002,53.2,54.2,53.2,53.5,53.77370166,4525,50,243326,3225,71.27,1,0.3
8/30/2002,53.1,54.5,53,53.5,53.53166987,3126,57,167340,2591,82.89,1.5,0.4
8/29/2002,53.25,54,53.05,53.75,53.50163242,5207,82,278583,4117,79.07,0.95,0.5
8/28/2002,53,53.85,52.6,53.8,53.242487,24624,107,1311043,23441,95.2,1.25,0.8
8/27/2002,52.75,54.25,52.75,53.55,54.12684032,38852,168,2102936,37400,96.26,1.5,0.8
8/26/2002,53.15,54.4,53.15,53.8,53.85684431,6699,120,360787,5889,87.91,1.25,0.65
8/23/2002,53.5,54.5,52.75,53.3,53.54059829,4680,103,250570,3069,65.58,1.75,-0.2
8/22/2002,55,55.5,53.5,54.1,54.19203017,6098,105,330463,5350,87.73,2,-0.9
8/21/2002,53.7,55.95,53.7,55,55.03250378,19167,253,1054808,14257,74.38,2.25,1.3
8/20/2002,53.9,53.9,52.5,53.25,53.07115455,10948,225,581023,9232,84.33,1.4,-0.65
8/19/2002,55.8,56.5,52.9,53.15,54.74585505,16888,296,924548,10240,60.63,3.6,-2.65
8/16/2002,54,57.5,53.95,55.2,55.92170901,43300,643,2421410,14981,34.6,3.55,1.2
8/14/2002,52.25,54.45,52.25,53.85,53.63183082,21941,223,1176736,14423,65.74,2.2,1.6
8/13/2002,53.45,54,53,53.1,53.37841256,18974,286,1012802,8547,45.05,1,-0.35
8/12/2002,50.25,52.5,50.25,52.4,52.0697826,16881,223,878990,12358,73.21,2.25,2.15
8/9/2002,49.25,51.5,49,50.7,50.45521472,10595,157,534573,7675,72.44,2.5,1.45
8/8/2002,53,53,49.05,49.3,51.04120838,20093,281,1025571,15364,76.46,3.95,-3.7
8/7/2002,54,54,52.75,52.8,53.08698327,17877,210,949036,12320,68.92,1.25,-1.2
8/6/2002,51.7,53,51.4,52.85,52.36346502,13264,204,694549,7405,55.83,1.6,1.15
8/5/2002,51.95,52.75,51.25,51.4,51.81776431,21774,390,1128280,15914,73.09,1.5,-0.55
8/2/2002,50.35,52.2,48.85,51.1,51.04698014,24819,407,1266935,12668,51.04,3.35,0.75
8/1/2002,50.95,52.5,49.5,50.1,50.25387966,39952,332,2007743,31015,77.63,3,-0.85
7/31/2002,47.2,50.85,47,50.4,49.28855657,23070,330,1137087,10938,47.41,3.85,3.2
7/30/2002,51,52,48,48.55,50.22968496,33202,460,1667726,15929,47.98,4,-2.45
7/29/2002,50.6,50.6,47.1,49.2,48.39146987,30996,412,1499942,14395,46.44,3.5,-1.4
7/26/2002,54.1,54.1,49.05,50.05,50.27843378,45562,659,2290786,25961,56.98,5.05,-4.05
7/25/2002,57,57.5,54,54.2,55.48051852,27000,322,1497974,13055,48.35,3.5,-2.8
7/24/2002,54.5,56.9,54.5,54.85,55.76803019,33125,507,1847316,17523,52.9,2.4,0.35
7/23/2002,59.45,60,54,55.05,55.8969597,120021,1183,6708809,62418,52.01,6,-4.4
7/19/2002,57.15,61.75,57,60.3,60.09797771,44949,550,2701344,22685,50.47,4.75,3.15
7/18/2002,65,65,57.85,58.35,58.54261388,70822,451,4146105,47124,66.54,7.15,-6.65
7/17/2002,62.2,63.6,57.5,57.75,59.19816283,65971,669,3905362,36501,55.33,6.1,-4.45
7/15/2002,68.9,68.9,64,64.5,65.02424366,93344,841,6069623,72863,78.06,4.9,-4.4
7/12/2002,66,68.4,65,67.3,66.67579586,91976,991,6132573,50806,55.24,3.4,1.3
7/11/2002,61,65,61,64.75,63.51206795,81704,784,5189190,48819,59.75,4,3.75
7/10/2002,63.4,64,61,61.9,62.14110652,57857,544,3595298,33608,58.09,3,-1.5
7/9/2002,65.95,67.5,62,62.25,63.98816055,74919,688,4793929,46559,62.15,5.5,-3.7
7/8/2002,65,69,65,66.1,66.74456637,117463,1117,7840017,59477,50.63,4,1.1
7/5/2002,62.8,70,61.75,68.75,66.4226736,231635,2012,15385816,84314,36.4,8.25,5.95
7/4/2002,58.1,64.5,57.15,61.25,61.88178538,286259,2335,17714218,111117,38.82,7.35,3.15
7/3/2002,58,59.3,55.5,57.1,56.94128593,103723,979,5906121,48534,46.79,3.8,-0.9
7/2/2002,58.4,61.9,57.25,57.85,58.97811557,439856,2760,25941878,197027,44.79,4.65,-0.55
7/1/2002,47.8,55.6,47.8,55.6,53.34124539,304725,1827,16254411,188133,61.74,7.8,7.8
6/28/2002,44.1,47.5,44.1,46.35,46.43203701,84958,896,3944773,38523,45.34,3.4,2.25
6/27/2002,45.7,46.25,44.1,45.35,45.18872884,56303,537,2544261,35996,63.93,2.15,-0.35
6/26/2002,46.5,46.75,43.25,43.4,44.86244495,70161,817,3147594,36917,52.62,3.5,-3.1
6/25/2002,48,49.5,45.4,45.7,47.39961322,237342,2289,11249919,87189,36.74,4.1,-2.3
6/24/2002,43.5,47.85,43.1,47.15,46.01428997,211477,1691,9730964,100472,47.51,4.75,3.65
6/21/2002,42.7,44,41.1,43.5,43.17862223,70999,761,3065639,40655,57.26,2.9,0.8
6/20/2002,40.2,42.5,40.1,42.1,41.92298313,25423,293,1065808,19381,76.23,2.4,1.9
6/19/2002,42,42.5,40.6,40.85,41.34122934,34490,425,1425859,19273,55.88,1.9,-1.15
6/18/2002,44.25,44.3,41.25,41.5,42.67006929,75334,775,3214507,50711,67.31,3.05,-2.75
6/17/2002,43.95,45.35,41.8,43.6,43.8121216,246931,2168,10818571,106044,42.94,3.55,-0.35
6/14/2002,37.9,43.45,37.7,42.75,41.41572922,270681,1871,11210451,129645,47.9,5.75,4.85
6/13/2002,39.4,39.4,37.8,38.2,38.43037199,29356,343,1128162,23440,79.85,1.6,-1.2
6/12/2002,39.35,40.7,38,38.35,39.23853372,85686,611,3362193,44180,51.56,2.7,-1
6/11/2002,38.5,39,37.3,38.4,38.32718537,38712,391,1483722,23194,59.91,1.7,-0.1
6/10/2002,37.9,37.9,36.5,36.9,37.10075154,13439,178,498597,7962,59.25,1.4,-1
6/7/2002,39,39,36.75,36.75,37.29576316,20841,181,777281,15160,72.74,2.25,-2.25
6/5/2002,34.25,38.9,34.25,36.95,37.42660835,79103,556,2960557,31828,40.24,4.65,2.7
6/4/2002,34.8,35.75,34.55,34.75,34.99815054,17843,161,624472,15532,87.05,1.2,-0.05
5/31/2002,35.1,35.6,34.1,35.05,34.73487837,6084,55,211327,4584,75.35,1.5,-0.05
5/30/2002,36.85,36.85,34.55,34.75,35.41226361,17450,135,617944,16150,92.55,2.3,-2.1
5/29/2002,36,36.95,34.4,36.5,35.34155185,27580,324,974720,18512,67.12,2.55,0.5
5/28/2002,37,38,35.5,35.65,36.26454183,21335,251,773704,15050,70.54,2.5,-1.35
5/27/2002,40.5,41,35.55,37.45,37.73445306,116100,1210,4380970,58845,50.68,5.45,-3.05
5/24/2002,35,38.5,34.05,37.2,36.54459219,59562,416,2176669,50902,85.46,4.45,2.2
5/23/2002,33.2,34.2,33.2,34,33.80701754,3078,57,104058,2725,88.53,1,0.8
5/22/2002,33.15,34.75,33.15,34,34.06659878,4910,85,167267,3226,65.7,1.6,0.85
5/20/2002,35.25,35.7,34.8,34.95,35.17567807,11282,149,396852,6493,57.55,0.9,-0.3
5/17/2002,36.5,37.2,36.3,36.5,36.57151948,14143,186,517231,12272,86.77,0.9,0
5/16/2002,38.45,38.5,36.6,36.9,37.27083123,29727,349,1107950,20909,70.34,1.9,-1.55
5/14/2002,37.35,41,36.4,40.15,39.76643546,82033,722,3262160,44064,53.71,4.6,2.8
5/13/2002,37.1,37.7,36.5,36.5,36.81927588,19610,215,722026,17190,87.66,1.2,-0.6
5/10/2002,37.9,37.9,36.7,36.9,37.03488457,27376,118,1013867,22276,81.37,1.2,-1
5/9/2002,38,38,36.5,36.9,37.22844385,16573,213,616987,13561,81.83,1.5,-1.1
5/8/2002,38.2,38.75,37.2,37.2,37.89179307,20239,221,766892,18047,89.17,1.55,-1
5/7/2002,38.9,38.9,37.45,37.95,38.11401583,19585,218,746463,18285,93.36,1.45,-0.95
5/6/2002,38.3,39,37.85,38.15,38.28371068,35864,360,1373007,30414,84.8,1.15,-0.15
5/3/2002,39.8,39.8,38,38.3,38.55367985,13506,141,520706,11631,86.12,1.8,-1.5
5/2/2002,40,40.9,38.65,38.95,39.62672264,23583,222,934517,19533,82.83,2.25,-1.05
4/30/2002,36.4,39.95,36.4,38.75,39.06330557,11405,88,445517,10504,92.1,3.55,2.35
4/29/2002,40.5,40.5,38.8,39.25,39.49124173,7707,88,304359,6956,90.26,1.7,-1.25
4/26/2002,40.5,41,39.55,39.75,40.21950961,9421,72,378908,6355,67.46,1.45,-0.75
4/25/2002,42,43.9,39.3,39.5,41.58065494,26384,320,1097064,19343,44.75,4.6,-2.5
4/24/2002,39.7,41.5,38.7,41.25,40.39875334,16845,206,680517,,,2.8,1.55
4/23/2002,39.5,40,38.5,38.9,39.38902035,10565,122,416145,6550,62,1.5,-0.6
4/22/2002,40.25,40.25,39.35,39.5,39.75426295,18825,193,748374,18285,97.13,0.9,-0.75
4/19/2002,40.9,40.9,39,39.25,39.82946971,50859,446,2025687,38617,75.93,1.9,-1.65
4/18/2002,41.9,42,40.25,40.45,41.33378933,38012,203,1571180,33087,87.04,1.75,-1.45
4/17/2002,43.5,44,41.6,41.7,42.89850417,62574,574,2684331,42466,67.87,2.4,-1.8
4/16/2002,41.6,42.25,39.9,41.7,40.91229451,57180,433,2339365,36666,64.12,2.35,0.1
4/15/2002,45.7,45.7,42,42.1,43.35095453,58301,555,2527404,42026,72.08,3.7,-3.6
4/11/2002,36.9,44.2,36.9,42.2,43.20303128,183553,1249,7930046,132812,72.36,7.3,5.3
4/10/2002,37.95,43.35,37.95,41.85,41.89899451,359030,2660,15042996,173992,48.46,5.4,3.9
4/9/2002,32,37.9,32,37,35.18979887,161139,1270,5670449,82805,51.39,5.9,5
4/8/2002,32.75,32.75,31.75,32,32.1383594,29221,247,939115,28706,98.24,1,-0.75
4/5/2002,32.55,32.55,31.9,32,32.11962583,32819,268,1054134,31519,96.04,0.65,-0.55
4/4/2002,33,33.1,32,32.45,32.14373067,41376,215,1329979,38358,92.71,1.1,-0.55
4/3/2002,33,33,31.8,32.05,32.28216355,15530,105,501342,13765,88.63,1.2,-0.95
4/2/2002,33.75,33.75,32.5,32.65,32.96783245,19958,165,657972,16758,83.97,1.25,-1.1
4/1/2002,35,35,33.25,33.75,34.21567314,8958,91,306504,7264,81.09,1.75,-1.25
3/28/2002,35.25,35.75,34.35,34.45,34.70056113,11762,121,408148,10583,89.98,1.4,-0.8
3/26/2002,33.75,33.75,33.1,33.35,33.43944316,4310,42,144124,3450,80.05,0.65,-0.4
3/22/2002,33.75,34.3,33.5,33.7,33.85491834,2633,42,89140,2624,99.66,0.8,-0.05
3/21/2002,35.25,35.25,33.5,33.9,34.0215249,7712,100,262374,5937,76.98,1.75,-1.35
3/20/2002,30.25,36.5,30.25,34.35,33.53730047,185373,245,6216910,23388,12.62,6.25,4.1
3/19/2002,35.05,35.05,33.8,33.85,34.13332742,22531,163,769058,20556,91.23,1.25,-1.2
3/18/2002,35.6,36,34.8,35,35.28775929,15089,172,532457,11493,76.17,1.2,-0.6
3/15/2002,35.95,36,35,35.5,35.38910013,18936,145,670128,16843,88.95,1,-0.45
3/14/2002,36,36,34.65,34.95,35.07794389,17859,199,626457,15328,85.83,1.35,-1.05
3/13/2002,35,35.4,34.35,35,34.96153366,8007,141,279937,6868,85.77,1.05,0
3/12/2002,34.2,35,33.95,34.75,34.45783502,6522,93,224734,7858,73.12,1.05,0.55
3/11/2002,35.5,35.5,34.5,34.5,34.6110322,4224,62,146197,,,1,-1
3/8/2002,34.7,35.5,34.35,35,35.02427727,6261,80,219287,4855,77.54,1.15,0.3
3/7/2002,34.5,36,34.5,35.4,35.37331334,4002,61,141564,3722,93,1.5,0.9
3/6/2002,34.9,35.7,34.55,35,35.0817549,6177,62,216700,5677,91.91,1.15,0.1
3/5/2002,35.15,36.4,35,35.7,35.68623482,8892,103,317322,7275,81.82,1.4,0.55
3/4/2002,37,37,35.5,35.7,36.26755829,28263,288,1025030,25640,90.72,1.5,-1.3
3/1/2002,35,36.25,35,36.1,35.62600221,14468,104,515437,11528,79.68,1.25,1.1
2/28/2002,37.85,39,34,34.6,36.25367517,42515,420,1541325,27236,64.06,5,-3.25
2/27/2002,37.45,38.25,36,37.7,37.13630941,15927,195,591470,11222,70.46,2.25,0.25
2/26/2002,37.7,38.2,36.7,37.35,37.49684913,21264,250,797333,17102,80.43,1.5,-0.35
2/25/2002,39.75,39.9,36.25,37.55,37.91005617,58392,654,2213644,42923,73.51,3.65,-2.2
2/22/2002,35.2,37.5,34.5,37.25,36.23779146,89978,532,3260604,56653,62.96,3,2.05
2/19/2002,39.45,39.45,36.05,36.15,36.90343334,16165,142,596544,12665,78.35,3.4,-3.3
2/18/2002,40.4,41.4,37.05,37.4,38.49243038,38245,526,1472143,30239,79.07,4.35,-3
2/15/2002,39,40,38.25,38.9,39.07456932,57584,596,2250070,46574,80.88,1.75,-0.1
2/14/2002,35.1,41.5,35,37.05,38.5527914,73601,749,2837524,,,6.5,1.95
2/13/2002,36,37,35.7,35.85,36.30353049,10905,110,395890,,,1.3,-0.15
2/12/2002,39.25,39.25,36.6,37,37.72172141,32392,255,1221882,,,2.65,-2.25
2/11/2002,33.95,37.4,33.75,37.05,35.8326079,24583,254,880873,,,3.65,3.1
2/8/2002,32.55,34,32,33,33.01910524,6281,90,207393,5506,87.66,2,0.45
2/7/2002,33,34.75,32.65,32.85,33.63305193,8647,97,290825,,,2.1,-0.15
2/6/2002,32,34.6,32,33.35,33.18235191,28615,288,949513,,,2.6,1.35
2/5/2002,32.8,32.8,32.3,32.8,32.54182655,6515,78,212010,,,0.5,0
2/1/2002,33,33.75,32.25,32.7,32.89124118,9636,124,316940,,,1.5,-0.3
1/31/2002,35,35,32.75,33.3,33.89892553,13495,178,457466,,,2.25,-1.7
1/30/2002,35.8,36,35,35.55,35.60682585,7999,99,284819,,,1,-0.25
1/29/2002,35.2,35.9,34.35,35.55,35.01047047,14326,121,501560,,,1.55,0.35
1/28/2002,35,35,34,34.8,34.62122874,3646,38,126229,,,1,-0.2
1/25/2002,34.2,35.25,33,34.65,34.02566096,7716,85,262542,,,2.25,0.45
1/24/2002,34.6,35,34.5,34.5,34.83373316,5419,68,188764,,,0.5,-0.1
1/23/2002,34.35,35,34.15,34.6,34.66666667,5412,76,187616,,,0.85,0.25
1/22/2002,34,35.25,34,35.2,34.96195972,8491,90,296862,,,1.25,1.2
1/21/2002,35.1,35.1,34.4,34.75,34.94004665,7289,72,254678,,,0.7,-0.35
1/18/2002,35.25,35.5,33.6,34.1,34.71524904,13050,129,453034,,,1.9,-1.15
